AdaptationID;AdaptedWork;Alternative Title;Author;Director;ProducingCompany;Country;City;Year;Date;Involved exiles;URL;;;;;;;;;;
69;El Retablo De Las Maravillas;;Miguel De Cervantes;;Spanish Club;US;New York;1947;13/6/47;;https://digitalcollections.barnard.edu/do/a710686b-dbea-43a1-b0d6-3515b1dce4ba#page/4/mode/2up/search/cervantes;;;;;;;;;;
70;La Vida Es Sueno;;Pedro Calderon De La Barca;;Instituto Hispanico;US;New York;1947;23/04/1947;;https://www.jstor.org/stable/30206090;;;;;;;;;;
71;La Vida Es Sueno;;Pedro Calderon De La Barca;Rivas Cherif;Teatro Espanol de America;Mexico;Mexico City;1947;10/3/47;Rivas Cherif (director and adapter), Miguel Macia (ctor);https://www.cervantesvirtual.com/obra/ano-ii-num-5-junio-septiembre-de-1957/;;;;;;;;;;
72;La Guarda Cuidadosa;;Miguel De Cervantes;Rivas Cherif;;Mexico;;1947;25/11/47;Rivas Cherif (director), Miguel Macia (actor);;;;;;;;;;;
73;El Viejo Celoso;;Miguel De Cervantes;Ernesto Vilches;Union de Intelectuales Españoles de Mexico;Mexico;;1947;;Miguel Prieto (set designer);;;;;;;;;;;
74;Quijote;Don Quixote;Miguel De Cervantes;Ángel Ara;Servicio Latinoamericano de la BBC;UK;London;1947;;"Angel Ara (director), Enrique Moreno Baez (adapter), Manuel Lazareno (music); radio drama";;;;;;;;;;;
75;La Cueva De Salamanca;;Miguel De Cervantes;Josep Manye;BBC;UK;London;1947;22/10/1947;"Josep Manye (director and adapter), Eduardo Martinez Torner (composer); radio drama";;;;;;;;;;;
76;El Juez De Los Divorcios;;Miguel De Cervantes;Jose Estruch;Hogar Español;UK;London;1947;oct-47;;;;;;;;;;;;
77;La Guarda Cuidadosa;;Miguel De Cervantes;Jose Estruch / Manuel Lazareno;Hogar Español;UK;London;1947;;Jose Estruch and Manuel Lazareno (directors), Jose Estruch (costume designer);;;;;;;;;;;
78;La Española Inglesa;Lienzo De La Vida De Don Miguel De Cervantes Saavedra;Miguel De Cervantes;Jose Estruch/ Manuel Lazareno/ Angel Ara;Hogar Español;UK;London;1947;29/11/1947;Jose Estruch, Manuel Lazareno & Angel Ara (directors);;;;;;;;;;;
79;Quijote;Lienzo De La Vida De Don Miguel De Cervantes Saavedra;Miguel De Cervantes;Jose Estruch/ Manuel Lazareno/ Angel Ara;Hogar Español;UK;London;1947;29/11/1947;Jose Estruch, Manuel Lazareno & Angel Ara (directors);;;;;;;;;;;
80;El Licenciado Vidriera;Lienzo De La Vida De Don Miguel De Cervantes Saavedra;Miguel De Cervantes;Jose Estruch/ Manuel Lazareno/ Angel Ara;Hogar Español;UK;London;1947;29/11/1947;Jose Estruch, Manuel Lazareno & Angel Ara (directors);;;;;;;;;;;
81;Los Habladores;;Miguel De Cervantes;Jose Estruch;Hogar Español;UK;London;1947;29/11/1947;Jose Estruch (director);;;;;;;;;;;
82;La Cueva de Salamanca;;Miguel De Cervantes;Rafael Martinez Nadal;King's College Spanish Society;UK;London;1947;; Rafael Martinez Nadal (director);;;;;;;;;;;
83;La Guarda Cuidadosa;;Miguel De Cervantes;Rafael Martinez Nadal;King's College Spanish Society;UK;London;1947;; Rafael Martinez Nadal (director);;;;;;;;;;;
84;El Viejo Celoso;;Miguel De Cervantes;Emilio Aparicio Martínez;Teatro Escuela de Arte Nacional;Dominican Republic;;1947;;Emilio Aparicio Martínez (director);;;1947;;;;;;;;
85;La Dama Boba;;Lope De Vega;Anatoli Blashkovski/ Felix Navarro;Club Espanol De Moscu;USSR;Moscow;1947;;Felix Navarro (director), Marta Gonzalez (costume designer), Alberto Sanchez (set designer), actors: Conchita Brufau, Araceli Sánchez, Aida Rodriguez, Aurora Aguirre, Pedro Munoz, Jose Maria Lanz, Jose Zaragoza, Joaquin Bernal, Melquiades Ruiz, Jose Arias, Juan Ruiz & Vicente Estevez;;;;;;;;;;;
86;Don Gil De Las Calzas Verdes;;Tirso De Molina;Pedro Orthous;;Chile;;1947;;Jose Ricardo Morales (adapter);;;;;;;;;;;
87;El Retablo De Las Maravillas;;Miguel De Cervantes;Ramón J. Sender;University of New Mexico ;US;Albuquerque;1948;;;;;;;;;;;;;
88;El Vizcaino Fingido;;Miguel De Cervantes;Edmundo Barbero;Escuela Nacional de Arte Escenico students;Peru;Lima;1948;23/7/48;;;;;;;;;;;;
89;El Burlador De Sevilla;;Tirso De Molina;Pedro Morheiru;Teatro De Ensayo De La Universidad Católica;Chile;;1948;9/1/48;Montserrat Julio Nonell (actress);;;;;;;;;;;
90;El Retablo De Las Maravillas;;Miguel De Cervantes;Jose Estruch;Jovenes vascos;France;;1948;ago-48;Jose Estruch (director);;;;;;;;;;;
91;El Retablo De Las Maravillas;;Miguel De Cervantes;Jose Estruch;Jovenes vascos;Czech Republic;;1948;;Jose Estruch (director);;;;;;;;;;;
92;La Celestina;;Fernando De Rojas;Jose Ricardo Morales;Teatro Experimental Universitario;Chile;Santiago de Chile;1948;;Jose Ricardo Morales (director, adapter and set designer);;;;;;;;;;;
93;Don Gil De Las Calzas Verdes;;Tirso De Molina;Edmundo Barbero;Escuela Nacional de Arte Escenico students;Peru;Lima;1949;26/11/49;Jose Ricardo Morales (director);;Perú;;;;;;;;;
94;El Viejo Celoso;;Miguel De Cervantes;Rivas Cherif;El Teatro Rodante Universitario;Puerto Rico;;1949;Jan-1949;Rivas Cherif (director);https://www.teatro.es/++resource++plonetheme.teatro.images/multimedia/revistas/ep/s_042/00000045.pdf_pdf.pdf;;;;;;;;;;
95;La Caratula;;Juan Del Encina;Rivas Cherif;El Teatro Rodante Universitario;Puerto Rico;;1949;;Rivas Cherif (director);https://www.teatro.es/++resource++plonetheme.teatro.images/multimedia/revistas/ep/s_042/00000045.pdf_pdf.pdf;;;?;;;;;;;
96;El Burlador De Sevilla;;Tirso De Molina;Jose Maria Garcia Lora;;UK;Birmingham;1949;;Jose Maria Garcia Lora (director), Eduardo Torner (composer);;;;;;;;;;;
97;El Burlador De Sevilla;;Tirso De Molina;Rafael Martinez Nadal;King's College Spanish Society;UK;London;1949;;;;;;;;;;;;;
98;La Celestina;;Fernando De Rojas;Margarita Xirgu;Comedia Nacional De Uruguay;Uruguay;Montevideo;1949;22/3/49;Margarita Xirgu (director), Jose Ricardo Morales (adapter);;;;;;;;;;;
99;;Interlude;Miguel De Cervantes;;WKCR (Columbia's University Radio Station);US;New York;1949;28/10/1949;;https://digitalcollections.barnard.edu/do/eae79375-694f-492d-a6fa-3c1c1d1799e2#mode/2up/search/cervantes;;;;;;;;;;
100;Auto De La Sibila Casandra;;Gil Vicente;;Spanish Club (Barnard);US;New York;1950;;;https://www.jstor.org/stable/30208109?seq=1;;;;;;;;;;
101;El Retablo De Las Maravillas;;Miguel De Cervantes;;Circulo Hispano;US;New York;1950;18/12/1950;;https://www.jstor.org/stable/30206283?seq=1;;;;;;;;;;
102;La Cueva de Salamanca;;Miguel De Cervantes;Luis Cernuda;Laboratory Theatre;US;South Hadley;1950;19/04/1950;Luis Cernuda (director), Concha de Albornoz (consultant);https://compass.fivecolleges.edu/islandora/object/mtholyoke%3A62297?=19&search_api_fulltext=CERVANTES;;;;;;;;;;
103;El Caballero De Olmedo;;Lope De Vega;Enrique Casal Chapi;Club de Teatro;Uruguay;Montevideo;1950;27/3/50;Enrique Casal Chapí (director), José Estruch (assistant director);;;;;;;;;;;
104;La Cueva De Salamanca;;Miguel De Cervantes;Laura De Los Rios Giner;Circulo Hispano;US;New York;1950;dic-50;;https://digitalcollections.barnard.edu/do/7992a9cf-0eb4-45f9-ab37-b1c0d9ac31a2#page/4/mode/2up/search/CERVANTES;;;;;;;;;;
105;El Retablo De Las Maravillas;;Miguel De Cervantes;;Escuela Municipal de Arte Dramatico;Paraguay;Asuncion;1951;20/04/1951;Josefina Pla (founder of the Escuela Municipal de Arte Dramatico);;;;;;;;;;;
106;El Alcalde De Zalamea;El garrote mas bien dado o El alcalde de Zalamea;Pedro Calderon De La Barca;Rivas Cherif;Teatro Espanol de America en Puerto Rico;Puerto Rico;San Juan;1951;;Cipriano Rivas Cherif (director), Eugenio F. Granell (set designer), Amparo Segarra (dressmaker);;;;;;;;;;;
107;El Juez De Los Divorcios;;Miguel De Cervantes;Rafael Martinez Nadal;King's College Spanish Society;UK;London;1951;7/5/51;Rafael Martinez Nadal (director);;;;;;;;;;;
108;Los Habladores;;Miguel De Cervantes;Rafael Martinez Nadal;King's College Spanish Society;UK;London;1951;21/03/1951;Rafael Martinez Nadal (director);;;;;;;;;;;
109;El Retablo De Las Maravillas;;Miguel De Cervantes;Rafael Martinez Nadal;King's College Spanish Society;UK;London;1951;21/03/1951;;;;;;;;;;;;
110;Eglogla VII;Los Comediantes De Maese Pedro;Juan Del Encina;Jose Estruch;Club de Teatro;Uruguay;;1951;21/03/1951;Jose Estruch (director), Enrique Casal Chapi (assistant director);;;;;;;;;;;
111;Don Gaiferos Y Las Busconas De Madrid;Los Comediantes De Maese Pedro;Luis Quinones de Benavente;Jose Estruch;Club de Teatro;Uruguay;;1951;mar-51;Jose Estruch (director), Enrique Casal Chapi (assistant director);;;;;;;;;;;
112;El Retablo De Las Maravillas;Los Comediantes De Maese Pedro;Miguel De Cervantes;Jose Estruch;Club De Teatro;Uruguay;;1951;mar-51;Jose Estruch (director), Enrique Casal Chapi (assistant director);;;;;;;;;;;
113;Los Habladores;Los Comediantes De Maese Pedro;Miguel De Cervantes;Jose Estruch;Club De Teatro;Uruguay;;1951;mar-51;Jose Estruch (director), Enrique Casal Chapi (assistant director);;;;;;;;;;;
114;Quijote;Don Quijote Y Los Galeotes;Miguel De Cervantes;Josefina Pla;Escuela Municipal de Arte Dramatico;Paraguay;Asuncion;1951;mar-51;Josefina Pla (director and adapter);;;;;;;;;;;
115;Fuente Ovejuna;;Lope De Vega;Pedro Orthous;Teatro Nacional Chileno;Chile;Santiago de Chile;1951;;Theatre company related to Pedro de la Barra;https://www.memoriachilena.gob.cl/602/w3-article-69471.html;;;;;;;;;;
116;Los Habladores;;Miguel De Cervantes;Amelia A. Del Rio ;Spanish Club (Barnard);US;New York;1952;;Margarita Ucelay (dressmaker);https://digitalcollections.barnard.edu/do/f0db33f1-0556-4b6d-b044-aa4f5ceead4f#page/2/mode/2up/search/calderon;;;;;;;;;;
117;El Retablo De Las Maravillas;;Miguel De Cervantes;;Barnard College Spanish Department;US;New York;1952;28/03/1952;Ernesto Da Cal (actor);https://digitalcollections.barnard.edu/do/9b35b6c3-9615-4f25-9302-8f4eceeb8554;;;;;;;;;;
118;El Caballero De Olmedo;;Lope De Vega;;Barnard College Spanish Department;US;New York;1952;5/12/52;;https://digitalcollections.barnard.edu/do/24b92a25-e5be-4886-806f-b1ab25551524;;;;;;;;;;
119;La Devocion De La Cruz;La Devotion de la croix;Pedro Calderon De La Barca;Marcel Herrand;;France;Angers;1952;;Maria Casares (actress and translator);;;;;;;;;;;
120;Las Mocedades Del Cid ;;Guillen De Castro;Alvaro Custodio;Teatro Espanol de Mexico;Mexico;Mexico City;1953;20/11/1953;Alvaro Custodio (director), Blanca Chacel (actress), Amparo Villegas (actress), Josep Renau (set designer);;;;;;;;;;;
121;La Celestina;;Fernando De Rojas;Alvaro Custodio;Teatro Espanol de Mexico;Mexico;Mexico City;1953;14/6/53;Alvaro Custodio (director, adapter);;;;;;;;;;;
122;La Celestina;;Fernando De Rojas;Alvaro Custodio;;Mexico;;1953;10/8/53;Alvaro Custodio (director), Amparo Villegas (actress), Pilar Crespo (actress), Ofelia Guilmáin (actress), Blanca Chacel (actress), Lorenzo  de Rodas (actor);;;;;;;;;;;
123;Fuente Ovejuna;;Lope De Vega;Margarita Xirgu;Comedia Nacional de Uruguay;Uruguay;Montevideo;1953;31/07/1953;Margarita Xirgu (director, adapter);;;;;;;;;;;
124;El Alcalde De Zalamea;;Pedro Calderon De La Barca;Margarita Xirgu;Comedia Nacional de Uruguay;Uruguay;Montevideo;1953;17/04/1953;Margarita Xirgu (director, adapter), Gori Munoz (set designer);http://margaritaxirgu.es/material/figurins/Alcalde%20de%20Zalamea/index.html;;;;;;;;;;
